Hybridization REF	TCGA-01-0630-11A-01T-0364-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-744*	4.788628898
hsa-miR-758	4.939287697
hsa-miR-760	5.957284961
hsa-miR-765	7.550161222
hsa-miR-766	4.968688841
hsa-miR-767-3p	4.682075462
hsa-miR-767-5p	4.647773231
hsa-miR-768-3p	12.39007745
hsa-miR-768-5p	8.132347978
hsa-miR-769-3p	5.115410238
hsa-miR-769-5p	6.727312244
hsa-miR-770-5p	5.65173564
hsa-miR-801	9.938979448
hsa-miR-802	4.617849501
hsa-miR-873	4.770728197
hsa-miR-874	7.656885547
hsa-miR-875-3p	4.555947988
hsa-miR-875-5p	4.667996761
hsa-miR-876-3p	4.561819829
hsa-miR-876-5p	4.556800786
hsa-miR-877	5.785526255
hsa-miR-877*	5.183888999
hsa-miR-885-3p	4.752044369
hsa-miR-885-5p	5.823764639
hsa-miR-886-3p	6.915982143
hsa-miR-886-5p	4.734214997
hsa-miR-887	5.749030017
hsa-miR-888	4.553508634
hsa-miR-888*	4.617553154
hsa-miR-889	4.608513518
hsa-miR-890	4.613289204
hsa-miR-891a	4.666919355
hsa-miR-891b	4.663112436
hsa-miR-892a	4.745305745
hsa-miR-892b	5.479639963
hsa-miR-9	4.587489305
hsa-miR-9*	4.895933755
hsa-miR-920	4.672998135
hsa-miR-921	4.7744987
hsa-miR-922	4.553386934
hsa-miR-923	16.19353906
hsa-miR-924	4.683791493
hsa-miR-92a	10.06991736
hsa-miR-92a-1*	4.584178858
hsa-miR-92a-2*	4.635638005
hsa-miR-92b	4.703378546
hsa-miR-92b*	4.674597411
hsa-miR-93	7.728275753
hsa-miR-93*	4.668554821
hsa-miR-933	5.000256855
hsa-miR-934	4.930741763
hsa-miR-935	4.58309025
hsa-miR-936	5.702631706
hsa-miR-937	4.538256241
hsa-miR-938	4.6951379
hsa-miR-939	9.99470694
hsa-miR-940	8.989721495
hsa-miR-941	4.542699904
hsa-miR-942	4.679017893
hsa-miR-943	4.567606791
hsa-miR-944	4.671793681
hsa-miR-95	4.589446334
hsa-miR-96	3.902222453
hsa-miR-96*	4.60336501
hsa-miR-98	5.26238911
hsa-miR-99a	12.10564349
hsa-miR-99a*	4.868955105
hsa-miR-99b	10.45407699
hsa-miR-99b*	5.33976791
hsv1-miR-H1	7.243083638
hsv1-miR-LAT	9.507861552
hur_1	16.99462387
hur_2	17.65617419
hur_4	11.89320511
hur_5	10.95802773
hur_6	13.95866658
kshv-miR-K12-1	4.634991946
kshv-miR-K12-10a	5.088409623
kshv-miR-K12-11	4.584785752
kshv-miR-K12-12	4.545254711
kshv-miR-K12-2	4.597434589
kshv-miR-K12-3	11.18641352
kshv-miR-K12-3*	4.505403028
kshv-miR-K12-4-3p	4.61397906
kshv-miR-K12-4-5p	4.611365205
kshv-miR-K12-5	4.550226534
kshv-miR-K12-6-3p	4.636853105
kshv-miR-K12-6-5p	4.604189582
kshv-miR-K12-7	5.119240766
kshv-miR-K12-8	5.191411149
kshv-miR-K12-9	4.498186231
kshv-miR-K12-9*	4.608506194
miRNABrightCorner30	8.501691017
mr_1	12.62804882
NC1_00000197	4.772295358
NC1_00000215	4.772874361
NC2_00079215	4.77226405
NC2_00092197	4.802042578
NC2_00106057	4.824592096
NC2_00122731	4.763166391
NegativeControl	4.738418875
SCorner3	10.10378461
